Rank,Company Name,Revenue,% Change,Net Operating Income,% Change,Profit,% Change,Assets,% Change,Net Worth,% Change,Equity Dividend,% Change,Employee Cost,% Change
80,Future Retail,"18,382.83",145.9,"17,980.46",147.4,368.28,"2,340.56","3,987.43",26.08,"2,553.66",36.27,0,,803.44,144.57
81,Asian Paints,"18,311.86",12.35,"17,518.19",7.58,"1,939.42",11.13,"8,694.97",18.05,"7,603.60",16.52,254.19,,"1,086.29",9.78
82,Indian Bank,"18,261.62",1.27,"16,039.22",-1.26,"1,453.06",93.41,"2,12,569.89",7.21,"14,733.42",7.48,288.17,,"1,995.36",-0.74
83,Lupin,"17,946.97",20.52,"17,494.33",22.72,"2,557.46",13.12,"22,410.15",17.7,"13,497.57",20.91,338.24,,"2,849.52",33.05
84,Reliance Capital,"17,640.00",76.44,"17,507.00",76.11,"1,086.00",-1.36,"73,089.00",24.01,"15,334.00",8.42,0,,"1,337.00",61.47
85,UPL,"17,126.00",18.41,"16,312.00",16.12,"1,727.00",83.72,"14,195.00",21.4,"7,315.00",24.21,0,,"1,627.00",13.46
86,Gitanjali Gems,"16,831.44",18.87,"16,572.87",18.51,166.83,60.86,"14,722.72",-0.39,0,0,0.8,,311.58,13.95
87,PTC India,"15,513.47",14.06,"15,310.55",13.86,414.72,28.59,"14,817.30",22.51,"3,855.11",8.55,0,,43.99,18.25
88,Aurobindo Pharma,"15,339.65",8.85,"14,909.54",8.08,"2,301.66",13.66,"12,760.54",3.29,"9,371.91",28.61,0,,"1,767.76",14.59
89,Max Financial Services,"15,248.70",30.2,"15,246.72",30.2,395.36,56.43,"41,543.44",23.17,"1,828.29",-6.96,0,,918.13,41.18
90,Cipla,"14,747.97",5.84,"14,630.24",6.09,"1,006.39",-26,"17,355.54",-0.01,"12,525.42",8.76,0,,"2,633.82",8.21
91,Dr Reddy's Laboratories,"14,490.90",-9.2,"14,196.10",-8.81,"1,292.10",-39.36,"17,608.20",8.25,"12,262.10",-2.45,339,,"3,106.80",-0.34
92,CESC,"14,342.09",14.99,"13,903.50",14.68,690.84,15.43,"32,099.98",3.15,"10,622.69",0.18,132.56,,"3,627.74",11.14
93,Bhushan Steel,"14,286.13",19.44,"13,702.68",15.94,"-3,614.85",0,"48,551.67",-5.82,"-1,482.94",0,0,,501.29,11.51
94,EID Parry (India),"14,246.57",-6.33,"14,391.25",-6.29,520.81,"1,409.16","7,836.69",-8.89,"2,750.31",15.2,0,,476.28,4.62
95,Siemens,"14,188.80",24.08,"10,835.80",2.58,"2,873.70",144.7,"6,838.20",25.49,"6,558.70",28.18,"1,193.00",,"1,462.70",5.09
96,Citibank,"14,183.84",2.31,"10,450.85",-2.31,"3,625.61",12.14,"1,31,700.10",-7.18,"21,746.47",7.72,0,,"1,255.90",-1.52
97,LIC Housing Finance,"14,100.92",12.78,"14,092.44",12.83,"1,942.27",16.46,"1,39,681.92",14.65,"11,155.85",21.07,1,,266.23,61.84
98,Vijaya Bank,"14,030.72",8.28,"12,379.46",2.45,750.49,96.57,"1,52,225.24",6.18,"7,321.03",8.45,180.33,,"1,747.89",40.17
99,MRF,"13,970.91",2.13,"13,405.82",-0.35,"1,486.22",-11.16,"11,138.95",13.09,"8,640.76",19.61,2.54,,"1,000.36",16.76
100,Jaiprakash Associates,"13,745.27",-25.75,"13,759.03",-25.21,"-8,706.08",0,"45,158.04",-47.7,"7,558.99",-41.36,0,,907.59,2.26
101,Sundaram Clayton,"13,707.50",9.52,"13,498.20",8.3,330.2,13.14,"4,550.96",19.23,"1,867.01",22.6,63.73,,"1,041.73",11.07
102,Bank of Maharashtra,"13,586.79",-3.57,"12,061.98",-7.59,"-1,356.09",0,"1,54,645.77",-1.54,"7,468.91",-1.26,0,,"1,807.94",17.27
103,Apollo Tyres,"13,569.50",13.4,"13,180.04",11.24,"1,099.00",-2.13,"11,333.09",34.87,"7,286.83",10.38,0,,"1,742.07",10.9
104,Suzlon Energy,"13,551.74",28.94,"12,714.37",34.07,857.71,47.09,"4,674.32",9.94,"-6,841.33",0,0,,"1,046.48",9.11
105,Titan Company,"13,363.06",15.79,"12,978.86",15.1,711.47,5.48,"4,379.82",17.47,"4,232.38",20.71,0,,896.55,28.76
106,Avenue Supermarts,"13,050.01",39.91,"12,758.15",39.02,478.8,49.51,"5,340.81",95.69,"3,841.78",152.68,0,,192.51,29.17
107,Tata Chemicals,"12,836.03",-11.44,"12,941.77",-12.98,993.11,28.88,"19,478.59",-4.5,"7,908.24",15.38,0,,"1,297.23",2.05
108,TVS Motor Company,"12,677.03",11.1,"12,462.62",9.54,511.24,19.13,"3,600.21",21.71,"2,216.04",21.86,118.78,,828.05,13.25
109,Ruchi Soya Industries,"12,586.04",-15.6,"12,781.84",-15.39,"-1,311.68",0,"6,759.26",-19.03,931.67,-61.72,0,,193.21,-13.92
110,Capgemini Technology Services India,"12,551.20",12.69,"11,970.40",9.82,"1,579.50",-27.07,"8,971.10",22.65,"8,388.30",22.31,0,,"7,759.50",5.18
